Study_ID,DOI,DOI_URL,Title,Authors,Issue_year,Online_year,Journal,Source_PDF,Species,Taxon,Test_life_stage,Adult_role,Generation_design,Aquatic_system,Polymer,Particle_class,Nominal_size,Measured_size,Shape,Aging_or_surface_state,Fluorescent_label,Exposure_route,Exposure_regime,Exposure_start,Exposure_duration,Concentration_levels,Concentration_unit,Particle_only_arm,Co_stressor,Control_structure,Independent_unit,Biological_replicates,Organisms_per_unit,Environmental_realism,Biomarker_domains,Apical_domains,Same_experiment_link,Quantitative_status,Supplement_status,Raw_data_status,Eligibility_status,Manual_review_status,Key_quality_note,Same_experiment_biomarker_apical,Clear_treatment_control_mapping,Temporal_alignment,Group_means_reported,Variance_reported,Group_specific_independent_n,Experimental_unit_reported,Public_raw_or_complete_numeric_data,YES_count,NO_count,UC_count,Evaluated_count,Usability_proportion,Complete_8_item_score,Interpretive_note,Publication_year,Taxon_group,Habitat_group,Exposure_route_group,Polymer_group,Particle_class_group,Life_stage_group,Generation_group,Quantitative_reuse_class,Publication_year_final,Taxon_group_final,Exposure_route_final,Polymer_group_final,Particle_class_final
B1-132,10.3390/ani15131928,https://doi.org/10.3390/ani15131928,"Bioaccumulation, Ecotoxicity, and Microbial Responses in Hoplobatrachus rugulosus Tadpoles Following Co-Exposure to Imidacloprid and Microplastics",Xinyu Hu; Sipu Zhu; Yiru Chen; Linxia Zhang; Huadong Tan; Chunyuan Wu; Xiaoying Zhang; Xiao Deng; Yi Li,2025,2025,Animals,0144_2025_Bioaccumulation_Ecotoxicity_and_Microbial_Responses_in_Hoplobatrachus_rugulosus_Tadpoles_Following_Co-Exp_ani15131928.pdf.pdf,Hoplobatrachus rugulosus,Amphibian,Tadpoles at Gosner stages 26-33,,"Single-generation tadpole acute, toxicokinetic and 28-d chronic tests",Freshwater laboratory,Polyethylene,Microplastic,500-1000 µm,Agricultural mulch-film fragments sieved through 0.63-mm mesh and characterized by SEM and FTIR,Irregular fragments,"Approximately one-year field-aged agricultural mulch film, solvent- and acid-cleaned before grinding",No,Waterborne with likely ingestion and dermal contact,"Daily solution renewal; 96-h acute test, 96-h uptake plus 72-h depuration, and 28-d chronic exposure","GS26-33 tadpoles, about 30 mm and 0.25 g",96 h acute; 168 h kinetic study; 28 d chronic,"MP 0 or 10 mg/L; IMI 0, 0.045, 0.45, 4.5 mg/L; acute IMI 45-225 mg/L with or without MPs",mg/L,YES,Imidacloprid,"Clean-water control, MP-only, IMI-only and matched mixture arms",1000-mL glass beaker,3 beakers per treatment,12 acute; 30 kinetic/chronic tadpoles per beaker initially,IMI chronic concentrations span field-relevant to elevated; MP dose is a laboratory co-exposure challenge,Toxicokinetics; AChE; CAT; SOD; MDA; IBR; erythrocyte nuclear damage; gut and skin microbiomes,Acute mortality; body length; body weight; development,YES within chronic beaker treatments; microbiome sampled at study end,"PARTIAL - exact LC50, toxicokinetic parameters, regression equations and text percentages; most arm means are graphical",Supplementary Tables S1-S3 and Figs. S1-S6 cited but not supplied,NR,INCLUDE,Manually verified,The main text contains inconsistent group labels and ambiguous MP body-burden units. Interaction signs from the regression table do not always align with the narrative claim of synergy.,YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,"LC50, kinetic parameters and regression equations are exact; chronic arm means are figure-only and some units/labels are inconsistent.",2025,Amphibian,Freshwater,Waterborne,PE family,Microplastic,Embryo or larva,Single-generation,Fully reusable for conventional effect size,2025,Amphibian,Waterborne,PE family,Microplastic
B1-133,10.1039/d4na00013g,https://doi.org/10.1039/d4na00013g,Synergistic impact of nanoplastics and nanopesticides on Artemia salina and toxicity analysis,Mahalakshmi Kamalakannan; Durgalakshmi Rajendran; John Thomas; Natarajan Chandrasekaran,2024,2024,Nanoscale Advances,0145_2024_Synergistic_impact_of_nanoplastics_and_nanopesticides_on_Artemia_salina_and_toxicity_analysis_d4na00013g.pdf.pdf,Artemia salina,Branchiopod crustacean,Cysts and nauplii through second instar,,Single-generation hatching and acute toxicity tests,Natural seawater laboratory,Polystyrene,Nanoplastic,100 nm,100 nm in Milli-Q water and 1477.1 nm hydrodynamic size in seawater; NPER-PSNP complex 6765.7 nm in seawater,Spherical particles with aggregation in seawater,Commercial virgin PSNP; nanopermethrin formulated by solvent evaporation,No,Waterborne,"48-h hatching and acute exposure with observations at 3, 6, 12, 24 and 48 h",Cysts for hatching; nauplii for toxicity,48 h,"PSNP 5, 25, 50, 75, 100 mg/L; NPER 2, 4, 8, 16, 32 mg/L; mixtures fixed PSNP 100 mg/L plus each NPER level",mg/L,YES,Nanopermethrin,Untreated natural-seawater control and matched pristine-component arms,Well or beaker,3 replicates,10 cysts per hatching well; 10 nauplii per acute beaker,Low for PSNP mass concentrations; study is a mechanistic mixture challenge,ROS; CAT; SOD; lipid peroxidation; particle adsorption and aggregation,Hatching; mortality; swimming performance; gut morphology,YES for matched 48-h treatment series,"PARTIAL - exact hatching percentages, LC50 values and mixture table; variance is graphical or absent",ESI cited but not supplied,NR,INCLUDE,Manually verified,Table 2 inhibition ratios are mathematically inconsistent with the stated Cobs/Cexp formula. Source values are retained as reported but interaction classification is coded unresolved for quantitative synthesis.,YES,YES,YES,YES,NO,YES,YES,NO,,,,,,,"Hatching and mixture toxicity percentages are exact, but variance is absent. Source interaction ratios fail arithmetic verification.",2024,Crustacean,Marine,Waterborne,PS,Nanoplastic,Embryo or larva,Single-generation,Partially reusable,2024,Crustacean,Waterborne,PS,Nanoplastic
B1-134,10.1016/j.cbpc.2024.109966,https://doi.org/10.1016/j.cbpc.2024.109966,Combined effects of microplastics and benzo[a]pyrene on Asian sea bass Lates calcarifer growth and expression of functional genes,Ahmad Ghasemi; Ahmad Shadi,2024,2024,Comparative Biochemistry and Physiology Part C,0146_2024_Combined_effects_of_microplastics_and_benzo_a_pyrene_on_Asian_sea_bass_Lates_calcarifer_growth_and_expres_j.cbpc.2024.109966.pdf.pdf,Lates calcarifer,Fish,"Juvenile Asian sea bass, initial mass 7.8 ± 1.0 g",,Single-generation juvenile chronic exposure,"Marine laboratory, 150-L seawater volume in 300-L tanks",Polyethylene,Microplastic,50–60 µm stated at purchase; 30–50 µm stated for stock preparation,No numerical measured-size distribution in main article,Microspheres/particles,Commercial virgin PE particles; no aging procedure reported,No,Waterborne,56-d continuous exposure with about 50% daily seawater exchange and re-dosing,Juvenile fish after 14-d acclimation,"56 d; biomarker sampling on days 1, 7, 21 and 56","PE 0, 0.1, 1 mg/L; BaP 0, 20, 80 µg/L in nine selected single/mixture groups",mg/L PE and µg/L BaP,YES,Benzo[a]pyrene,DMSO vehicle control matched to BaP treatments,150-L exposure tank,3 tanks per treatment,15 fish per tank initially,Chronic challenge design; environmental representativeness asserted but concentrations are elevated relative to many field observations,"Liver CAT, SOD, GPx and MDA; IGF-I; stress, inflammatory, detoxification and apoptosis-related transcription",Mortality; weight gain; specific growth rate; feed conversion; body composition,YES at treatment/tank level; destructive biomarker samples were parallel fish,"HIGH for Tables 2–3; SGR, FCR, enzymes and gene expression are figure-only",No supplementary numerical outcome tables supplied with the main PDF,Available on request,INCLUDE,Manually verified,"Table means use three tanks. Particle size is reported inconsistently (50–60 versus 30–50 µm), and several Results passages misstate mg/L as mg/mL or µg/mL. Table 2 mortality and weight-gain scales are internally ambiguous and are retained exactly as printed.",YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,"Tables 2–3 provide exact tank means and SD, but most mechanistic endpoints remain graphical and raw data are on request.",2024,Fish,Marine,Waterborne,PE family,Microplastic,Juvenile,Single-generation,Fully reusable for conventional effect size,2024,Fish,Waterborne,PE family,Microplastic
B1-135,10.3390/toxics12080594,https://doi.org/10.3390/toxics12080594,Stressful Effects of Individual and Combined Exposure to Low-Concentration Polylactic Acid Microplastics and Chromium on Marine Medaka Larvae (Oryzias melastigma),Yuan Yin; Yini Ma; Qiang Li; Nan Chen; Shaobai Wen,2024,2024,Toxics,0147_2024_Stressful_Effects_of_Individual_and_Combined_Exposure_to_Low-Concentration_Polylactic_Acid_Microplastics_toxics12080594.pdf.pdf,Oryzias melastigma,Fish,15-day-old marine medaka larvae,,Single-generation larval exposure with a separate uptake/depuration assay,Artificial seawater laboratory,Polylactic acid,Biodegradable microplastic,100–300 µm; 3.03% below 100 µm,"Stereomicroscopy and SEM confirmed fragmented particles, mostly 100–300 µm",Irregular fragments,Commercial PLA fragments; Nile Red used only in the uptake/depuration assay,Nile Red for uptake/depuration cohort,Waterborne with feeding during exposure,14-d semi-static exposure with solution replacement every 48 h; separate 7-d uptake and 2-d depuration study,15-day-old larvae after 2-d fasting for the main exposure,14 d main exposure; 7 d uptake plus 2 d depuration,PLA 0 or 100 µg/L; Cr6+ 0 or 50 µg/L in a 2×2 design,µg/L,YES,Hexavalent chromium,Artificial-seawater control,2-L glass beaker containing 1 L exposure solution,3 beakers per treatment,12 larvae per main-exposure beaker; 5 larvae per uptake-assay beaker,Authors classified both concentrations as environmentally relevant,"Intestinal histopathology; CAT, GSH and SOD; swimming and anxiety metrics; fluorescent particle retention",Heart rate; body length; mortality,"YES for main exposure, but endpoint subsamples are nested within beakers; uptake assay is separate",PARTIAL - exact text means for selected antioxidant responses; most arm means are graphical,Supporting information cited for design and histology procedures but not supplied,Available on request,INCLUDE,Manually verified,"Nominal treatment replication is three beakers, whereas reported n values of 3, 4, 8 or 10 are fish-level subsamples with allocation among beakers unclear. These fish-level n values are not treated as independent exposure replicates.",YES,YES,YES,YES,YES,NO,YES,NO,,,,,,,"Group figures report SD, but fish-level n values are nested within three beakers and allocation is unclear.",2024,Fish,Marine,Mixed waterborne–dietary,PLA,Microplastic,Embryo or larva,Single-generation,Partially reusable,2024,Fish,Mixed waterborne–dietary,PLA,Microplastic
B1-136,10.1016/j.scitotenv.2023.167359,https://doi.org/10.1016/j.scitotenv.2023.167359,Gut microbiota related response of Oryzias melastigma to combined exposure of polystyrene microplastics and tetracycline,Peiqiang Zhao; Wenjia Lu; Ricardo David Avellan-Llaguno; Xin Liao; Guozhu Ye; Zhizhen Pan; Anyi Hu; Qiansheng Huang,2023,2023,Science of the Total Environment,0148_2023_Gut_microbiota_related_response_of_Oryzias_melastigma_to_combined_exposure_of_polystyrene_microplastics_a_j.scitotenv.2023.167359.pdf.pdf,Oryzias melastigma,Fish,Eight-month-old marine medaka adults,Directly exposed experimental fish,Single-generation adult exposure,Artificial seawater laboratory,Polystyrene,Microplastic,10 µm,Commercial 10-µm microspheres; no main-text measured distribution,Microspheres,Commercial PS adhered to algal food; no aging procedure reported,No,Dietary PS-MPs and waterborne tetracycline,Four-week exposure; PS-MPs incorporated into feed at 0.1% w/w and TC renewed daily in water,"Eight-month-old adults, 548 ± 50 mg",4 weeks,PS-MP 0 or 0.1% w/w in food; TC 0 or 50 µg/L in a 2×2 design,% w/w feed and µg/L water,YES,Tetracycline,Processed algal feed without PS-MPs and TC-free seawater,1-L exposure tank,3 tanks per treatment,6 fish per tank,Both doses selected to overlap reported environmental concentrations,Liver lipid histology and metabolomics; gut 16S microbiota; tetracycline-resistance genes,Body-weight gain; body-length gain,YES at tank level; liver and gut samples pooled from fish within tanks,PARTIAL - exact TC verification and omics counts; apical and histological means are figure-only,Supplementary data exist but were not supplied,16S data deposited under project OEP002917; other data available on request,INCLUDE,Manually verified,"Three tanks are the independent exposure units. Tissue samples were pooled from two fish, producing six analytical samples per group that are nested within three tanks. Public sequence data do not provide complete apical source values.",YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,"Sequence data are public, but complete apical source numbers are not; analytical samples are nested within tanks.",2023,Fish,Marine,Mixed waterborne–dietary,PS,Microplastic,Adult,Single-generation,Fully reusable for conventional effect size,2023,Fish,Mixed waterborne–dietary,PS,Microplastic
B1-137,10.1016/j.etap.2023.104215,https://doi.org/10.1016/j.etap.2023.104215,Synergetic effects of polyethylene microplastic and abamectin pesticides on the eyes of zebrafish larvae and adults through activation of apoptosis signaling pathways,Ajay Guru; Ahmed Rady; Noura M. Darwish; Guilherme Malafaia; Selvaraj Arokiyaraj; Jesu Arockiaraj,2023,2023,Environmental Toxicology and Pharmacology,0149_2023_Synergetic_effects_of_polyethylene_microplastic_and_abamectin_pesticides_on_the_eyes_of_zebrafish_larvae_j.etap.2023.104215.pdf.pdf,Danio rerio,Fish,96-hpf larvae and five-month-old adults,Adults directly exposed for ocular endpoints,Parallel larval and adult five-day exposures,Freshwater laboratory,Polyethylene,Reported as microplastic; measured-size description is internally inconsistent and partly nanoscale,Prepared through 0.15-mm sieve,"Results state “1 µm (0.0382–0.0644 µm)”, implying 38–64 nm despite microplastic terminology",Irregular ground particles/agglomerates,"Cryomilled commercial PE, stated clean and contaminant-free",No,Waterborne,Five-day static exposure in larval 6-well plates or adult 2-L beakers,96-hpf larvae and acclimated five-month-old adults,5 d,"PE 0, 10, 100 µg/L; abamectin 0 or 0.006 mg/L",µg/L PE and mg/L abamectin,YES,Abamectin,Untreated water control,"Unclear; plate/well for larvae and 2-L beaker for adults, but replication structure is not adequately described",Authors state n=10/group and experiments performed in triplicate,"10 larvae or adults per group per stated replicate, allocation unclear","Authors describe low concentrations, but the stated comparison with environmental abamectin is numerically questionable","Ocular ROS, apoptosis, lipid peroxidation, glutathione, superoxide, SOD, CAT, histopathology and bax/p53/caspase-3 expression",Larval survival,PARTIAL - larval and adult endpoints are separate experiments,PARTIAL - many exact text percentages/values without variance; graphs are violin plots without recoverable source data,No supplementary numerical dataset supplied,Available on request,INCLUDE WITH HIGH RISK-OF-BIAS FLAG,Manually verified,Particle size classification and experimental-unit replication are unresolved. Exact text values lack SD/SE. No effect-size comparison is generated from this study.,UC,YES,YES,YES,NO,NO,UC,NO,,,,,,,Exact text values lack variance and the independent experimental unit/replication is inadequately described.,2023,Fish,Freshwater,Waterborne,PE family,Nanoplastic,Multiple stages or life cycle,Single-generation or unclear,Partially reusable,2023,Fish,Waterborne,PE family,Nanoplastic
B1-138,10.1016/j.fsi.2022.05.025,https://doi.org/10.1016/j.fsi.2022.05.025,Toxic effects of polystyrene nanoplastics and polybrominated diphenyl ethers to zebrafish (Danio rerio),Qiuping Wang; Yizheng Li; Yurou Chen; Liyan Tian; Dandan Gao; Hongping Liao; Chunmiao Kong; Xikun Chen; Muhammad Junaid; Jun Wang,2022,2022,Fish and Shellfish Immunology,0150_2022_Toxic_effects_of_polystyrene_nanoplastics_and_polybrominated_diphenyl_ethers_to_zebrafish_(Danio_rerio)_j.fsi.2022.05.025.pdf.pdf,Danio rerio,Fish,Embryo and larva,Adults used only as broodstock,Single-generation early-life exposure followed by a seven-day depuration subset,Freshwater laboratory,Polystyrene,Nanoplastic,80 nm,TEM performed; exact distribution not tabulated in main text,Fluorescent nanospheres,Commercial virgin fluorescent PS-NPs,Green fluorescent,Waterborne,"Exposure in 70 mL E3 medium with nominal daily renewal; Methods also state beakers were not changed, creating a contradiction",Fertilized embryo,Up to 120 hpf; separate 7-d depuration after exposure,"PS-NP 0, 0.05, 0.1, 1, 5, 10 mg/L; BDE-47 0 or 0.1 µg/L",mg/L PS-NP and µg/L BDE-47,YES,"2,2′,4,4′-tetrabromodiphenyl ether (BDE-47)",Untreated E3 control and isooctane solvent control,70-mL exposure beaker,3 beakers per group,100 embryos per beaker,Includes low µg/L PS-NP arms and higher mg/L challenge arms; BDE-47 set at 0.1 µg/L,"Particle uptake and depuration; eye, muscle and cartilage histopathology; HPT-axis and reproductive gene expression",Survival; malformation; body length; heart rate; spontaneous movement; hatching,YES at exposure-group level; histology and transcription use subsamples,"PARTIAL-HIGH - selected exact text means ± SEM, with remaining groups figure-only",Supplementary primer table and reproductive-gene figure cited but not supplied,NR,INCLUDE,Manually verified,Source SEM values were converted to SD only for exact text means using three beakers. Methods contain duplicated/mistyped mixture-dose labels and contradictory solution-renewal statements. Most dose-specific means remain graphical.,YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,Selected means ± SEM and three beakers are explicit; most dose-specific values and supplementary gene data remain unavailable.,2022,Fish,Freshwater,Waterborne,PS,Nanoplastic,Embryo or larva,Single-generation,Fully reusable for conventional effect size,2022,Fish,Waterborne,PS,Nanoplastic
B1-139,10.1016/j.aquatox.2022.106192,https://doi.org/10.1016/j.aquatox.2022.106192,Intergenerational and biological effects of roxithromycin and polystyrene microplastics to Daphnia magna,Jiaqiang Liu; Haohan Yang; Qingjun Meng; Qiyan Feng; Zhenhua Yan; Jianchao Liu; Zhigang Liu; Zhengxie Zhou,2022,2022,Aquatic Toxicology,0151_2022_Intergenerational_and_biological_effects_of_roxithromycin_and_polystyrene_microplastics_to_Daphnia_magna_j.aquatox.2022.106192.pdf.pdf,Daphnia magna,Crustacean zooplankton,Neonates ≤24 h at F0 and first-brood offspring at F1,Maternal F0 daphnids directly exposed; F1 continuously exposed or transferred to clean medium,Two-generation intergenerational exposure and recovery design,Freshwater OECD 211 culture medium,Polystyrene,Microplastic,5 µm,Commercial 5-µm fluorescent microspheres; no numerical size distribution reported,Spherical microspheres,Original and UV-aged for 30 d at 254 nm; carbonyl index increased from 0.079 to 0.115,Green fluorophore incorporated in polymer matrix,Waterborne/filter feeding,Semi-static 21-d F0 exposure and 21-d F1 exposure or recovery; medium renewed every 2 d and gently stirred every 5 h,F0 neonates ≤24 h; F1 first offspring collected immediately,21 d per generation,Original PS 2.5 µg/L; UV-aged PS 2.5 µg/L; ROX 0.1 or 10 µg/L; aged PS plus each ROX dose,µg/L,YES,Roxithromycin,Generation-specific untreated controls; recovery groups transferred to clean medium,100-mL beaker with 50 mL medium and one daphnid,10 individual beakers per life-history arm; behavioral/biochemical assays used additional pooled or triplicate measurements,1 daphnid per chronic beaker,Particle and antibiotic doses selected as environmentally relevant,Particle distribution; swimming and feeding; AChE; T-AOC; T-SOD; MDA,Survival; offspring number; first-brood timing; intrinsic population-growth rate,"YES at treatment level for F0 life history, behavior and biomarkers; F1 exposure and recovery are linked descendants",PARTIAL - exact F0 survival percentages and selected fold changes; most life-history and biomarker means are graphical,Supporting methods cited but no arm-level numerical supplement supplied,Not publicly available in article,INCLUDE,Manually verified,"Ten one-animal beakers provide clear chronic replication. Most plots report SEM, while the statistical section ambiguously states mean ± SD (Standard Error of mean) and Fig. 9 reports SD. No plotted value was visually estimated.",YES,YES,YES,YES,PARTIAL,YES,YES,NO,,,,,,,"Ten individual beakers are clear, but most means are graphical and SD/SEM labeling is inconsistent across figures.",2022,Crustacean,Freshwater,Mixed waterborne–dietary,PS,Microplastic,Multiple stages or life cycle,Inter- or multigenerational,Partially reusable,2022,Crustacean,Mixed waterborne–dietary,PS,Microplastic
B1-140,10.1016/j.aquatox.2022.106348,https://doi.org/10.1016/j.aquatox.2022.106348,Short- and long-term single and combined effects of microplastics and chromium on the freshwater water flea Daphnia magna,Haksoo Jeong; Young Hwan Lee; Alaa El-Din H. Sayed; Chang-Bum Jeong; Bingsheng Zhou; Jae-Seong Lee; Eunjin Byeon,2022,2022,Aquatic Toxicology,0152_2022_Short-_and_long-term_single_and_combined_effects_of_microplastics_and_chromium_on_the_freshwater_water_fl_j.aquatox.2022.106348.pdf.pdf,Daphnia magna,Crustacean zooplankton,Neonates <24 h for acute/chronic tests; 5- or 14-day animals for mechanistic assays,Directly exposed adults in chronic and mechanistic assays,"Single-generation acute, chronic and mechanistic experiments",Freshwater M4 medium laboratory,Polystyrene,Microplastic,6 µm,Commercial nonfunctionalized 6-µm microbeads,Microspheres,"Commercial virgin, nonfunctionalized",Fluorescent particles used in ingestion/egestion assay,Waterborne/filter feeding,24- and 48-h acute assays; 21-d semi-static chronic assay; separate 24-h mechanistic assays,Neonates <24 h for acute/chronic tests,"24 h, 48 h, or 21 d depending on assay","Acute MP 0–30 mg/L; acute Cr 0–1.0 mg/L with or without MP 10 mg/L; chronic/mechanistic MP 5 mg/L with Cr 0, 10 or 100 µg/L",mg/L MP and mg/L or µg/L Cr,YES,Hexavalent chromium from potassium dichromate,Matched M4-medium controls within each assay,Acute 100-mL beaker; chronic 100-mL individual jar; mechanistic assays pooled daphnids per condition,Acute biological triplicates; chronic 10 one-animal jars; mechanistic measurements generally triplicate,Acute 10 neonates/beaker; chronic 1 neonate/jar; mechanistic pools 30–70 daphnids,Chronic Cr levels include 10 µg/L environmental and 100 µg/L effect-level concentrations; MP levels are experimental,"Cr accumulation; MP ingestion/egestion; ROS, SOD, CAT; sestrin/mitochondrial genes; P-gp/MRP and ABC transporters","Acute mortality; chronic reproduction, adult survival and length; first brood and neonate length",PARTIAL - chronic apical and 24-h mechanistic assays used separate cohorts,"HIGH for acute LC metrics, zeta potential and tissue Cr; chronic and mechanistic arm means are mostly graphical or supplementary",Tables S5–S7 and chronic single-Cr results are cited but not supplied,Available on request,INCLUDE,Manually verified,"The chronic individual-jar design is clear, but mechanistic assays pool many animals and only triplicate analytical values. Exact LC estimates and tissue Cr are retained; graphical chronic means are not estimated.",PARTIAL,YES,PARTIAL,YES,YES,PARTIAL,YES,NO,,,,,,,Exact acute and accumulation data are strong; chronic and mechanistic numerical tables are mostly supplementary or graphical and assays use separate cohorts.,2022,Crustacean,Freshwater,Mixed waterborne–dietary,PS,Microplastic,Embryo or larva,Single-generation,Partially reusable,2022,Crustacean,Mixed waterborne–dietary,PS,Microplastic
B1-141,10.1016/j.aquatox.2021.105814,https://doi.org/10.1016/j.aquatox.2021.105814,Microplastics alone or co-exposed with copper induce neurotoxicity and behavioral alterations on zebrafish larvae after a subchronic exposure,Dércia Santos; Ana Luzio; Carlos Matos; Juan Bellas; Sandra M. Monteiro; Luís Félix,2021,2021,Aquatic Toxicology,0153_2021_Microplastics_alone_or_co-exposed_with_copper_induce_neurotoxicity_and_behavioral_alterations_on_zebrafis_j.aquatox.2021.105814.pdf.pdf,Danio rerio,Fish,Embryos from 2 hpf through larvae at 14 dpf,,Single-generation embryo-larval subchronic exposure,Freshwater embryo water laboratory,"Proprietary polymer, composition undisclosed",Microplastic,1–5 µm,"Commercial red fluorescent spheres, stated 1–5 µm",Spherical microspheres,Commercial virgin particles,Red opaque fluorescent,Waterborne with ingestion after feeding began,14-d semi-static exposure with daily full renewal and 24-h pre-incubation of Cu–MP mixtures,2 h post-fertilization,14 d,"MP 0 or 2 mg/L; Cu 0, 60 or 125 µg/L in single and binary-mixture arms",mg/L MP and µg/L Cu,YES,Copper,Embryo-water control,1-L glass beaker,5 independent beakers per group,100 embryos per beaker initially,MP dose selected from laboratory/field context; Cu doses were about 10% and 20% of prior 96-h LC50,AChE activity and internal Cu; particle ingestion,"Mortality, hatching, body length, locomotion, light–dark response, avoidance and shoaling",YES at beaker/group level; separate larvae were subsampled for each endpoint,"HIGH for hatching and length table, selected mortality and behavior values; AChE and most behavior means are graphical",Table S1 and Fig. S1 cited but not supplied,Not reported as public,INCLUDE,Manually verified,Five independent beakers are explicit. Polymer composition is proprietary and must not be recoded as a named polymer. Exact table/text means and SD are usable; unprinted graphical values were not estimated.,YES,YES,YES,YES,YES,YES,YES,NO,,,,,,,Five independent beakers and exact Table 1 data support several particle-only comparisons; polymer identity and supplementary Cu values remain unresolved.,2021,Fish,Freshwater,Mixed waterborne–dietary,Unspecified,Microplastic,Embryo or larva,Single-generation,Fully reusable for conventional effect size,2021,Fish,Mixed waterborne–dietary,Unspecified,Microplastic
B1-142,10.3389/fenvs.2024.1514062,https://doi.org/10.3389/fenvs.2024.1514062,"Effects of ibuprofen and microplastics on movement, growth and reproduction in the freshwater snail Physella acuta",Daniel Elías; Jazmin Ramirez Vieytez; Morena Funoy Sayar; Jorge Loaisiga; Ayden Harper; Jason Doll,2025,2025,Frontiers in Environmental Science,0178_2025_Elías_Effects_of_ibuprofen_and_microplastics_on_movement__growth_and_reproduction_fenvs.2024.1514062.pdf,Physella acuta,Freshwater gastropod,"Mixed juvenile and adult snails, initial shell length 3.94–8.47 mm",Directly exposed reproductive snails,Single-generation 14-d factorial exposure,Synthetic spring water laboratory,Polyethylene,Microplastic,10–90 µm,"Commercial clear PE microspheres, 10–90 µm",Microspheres,Commercial virgin,No,Waterborne/ingestion,"14 d with twice-weekly water renewal, treatment renewal and feeding",Mixed-size juvenile/adult snails,14 d,PE-MP 0 or 10 µg/L; ibuprofen 0 or 500 µg/L in a 2×2 design,µg/L,YES,Ibuprofen,Synthetic-spring-water control,200-mL glass jar,5 jars per treatment,3 snails per jar,Authors selected concentrations to represent contaminated effluent-influenced systems,None measured,"Shell growth, movement, egg-cluster number and total egg production",NA - apical endpoints only,HIGH - Table 1 reports mean and SD for all four endpoints and four arms,No supplementary numerical file required for main endpoints,Not stated,INCLUDE,Manually verified,Five jars are the defensible independent units. Movement is labeled cm/s in Table 1 and Fig. 2 but described as cm/min in Results; the table/figure unit is retained and the conflict is flagged.,,YES,YES,YES,YES,YES,YES,NO,,,,,,,All four apical endpoints are tabulated by five independent jars; no biomarkers were measured.,2025,Mollusc,Freshwater,Waterborne,PE family,Microplastic,Multiple stages or life cycle,Single-generation,Fully reusable for conventional effect size,2025,Mollusc,Waterborne,PE family,Microplastic
B1-143,10.1007/s10695-025-01596-7,https://doi.org/10.1007/s10695-025-01596-7,"Ingestion and the toxicological effects of virgin polyethylene (PE) and polyvinylchloride (PVC) microplastics in commercial freshwater fish, tilapia (Oreochromis niloticus)",Prabhu Kolandhasamy; Saheli Singha; Sourav Bhattacharya; Suguna Anbukkarasu; Sivaraj Sigamani; Rajaram Rajendran,2025,2025,Fish Physiology and Biochemistry,0291_2025_Kolandhasamy_Ingestion_and_the_toxicological_effects_of_virgin_polyethylene_(PE)_and_pol_s10695-025-01596-7.pdf,Oreochromis niloticus,Fish,"Tilapia fingerlings, about 21 days old",,Single-generation 21-d dietary exposure,Freshwater 20-L glass tanks,Polyethylene and polyvinyl chloride,Microplastic,PE 0.5–1 mm; PVC 2–3 mm,Fragment lengths stated from preparation and supplementary characterization,Irregular fragments/dust,Virgin fragments washed with 75% alcohol and ultrasonicated,No,Dietary pellets,21 d; fed twice daily after 48-h fasting,Fingerlings after one-day acclimation,21 d,PVC 10 mg per 10 g feed; PE 15–20 particles per pellet; approximately 15–20 particles reportedly fed per fish,mg/feed and particles/pellet or fish,YES,,Commercial feed without plastic fragments,20-L exposure tank,3 tanks per treatment described,6 fish per tank described; Table 1 reports 10 fish and processing text refers to 12 fish,Dietary challenge using large fragments; delivered dose is incompletely standardized,"Gill/GIT accumulation; SOD, GPX and MDA; histopathology; tissue protein, lipid and carbohydrate","Growth, condition factor, qualitative feeding/aggression, swelling, fin damage and mortality",YES at treatment level; individual/tank linkage is not reported,"PARTIAL - exact fish-level means and selected text values, but tank-level variance is unavailable and several figures are graphical",Supplementary figures S1–S5 cited but not supplied,Not reported,INCLUDE,Manually verified,"The article conflicts on sample size and dose. Three tanks × six fish are described, Table 1 and Table 2 use 10 fish, and tissue processing cites 12 fish. Fish-level SD cannot be used as tank-level replication. The PE condition-factor SD is malformed as 0.0.48.",YES,YES,YES,YES,YES,NO,YES,NO,,,,,,,"Three tanks are described, but table SD and n are fish-level and source sample sizes conflict, preventing valid tank-level effect sizes.",2025,Fish,Freshwater,Dietary,Mixed polymers,Microplastic,Juvenile,Single-generation,Partially reusable,2025,Fish,Dietary,Mixed polymers,Microplastic
